plot_id,species_code,dbh_inches,sapling_count,datasheet_page,scientific_name,common_name,vegetation_type,beaver_preference,circle_name,dbh_inches_num
CCWBTC020,TSHE,1,NA,41,Tsuga heterophylla,western hemlock,tree,NA,C020,1
CCWBTC020,PRXXSP,4,NA,41,Prunus sp.,cherry species,tree,NA,C020,4
CCWBTA020,ALRU,11,NA,41,Alnus rubra,red alder,tree,NA,A020,11
CCWBTA075,ALRU,10,NA,42,Alnus rubra,red alder,tree,NA,A075,10
CCWBTA075,ALRU,10,NA,42,Alnus rubra,red alder,tree,NA,A075,10
CCWBTA075,ALRU,14,NA,42,Alnus rubra,red alder,tree,NA,A075,14
CCWBTA075,TSHE,18,NA,42,Tsuga heterophylla,western hemlock,tree,NA,A075,18
CCWBTA075,TSHE,6,NA,42,Tsuga heterophylla,western hemlock,tree,NA,A075,6
CCWBTA075,TSHE,12,NA,42,Tsuga heterophylla,western hemlock,tree,NA,A075,12
CCWBTA075,TSHE,16,NA,42,Tsuga heterophylla,western hemlock,tree,NA,A075,16
CCWBTA075,TSHE,3,NA,42,Tsuga heterophylla,western hemlock,tree,NA,A075,3
CCWBTA075,TSHE,21,NA,42,Tsuga heterophylla,western hemlock,tree,NA,A075,21
CCWBTA130,ABAM,7,NA,42,Abies amabilis,Pacific silver fir,tree,NA,A130,7
CCWBTA130,ABAM,14,NA,42,Abies amabilis,Pacific silver fir,tree,NA,A130,14
CCWBTA130,TSHE,22,NA,42,Tsuga heterophylla,western hemlock,tree,NA,A130,22
CCWBTA130,TSHE,19,NA,42,Tsuga heterophylla,western hemlock,tree,NA,A130,19
CCSWTA020,THPL,8,NA,43,Thuja plicata,western redcedar,tree,NA,A020,8
CCSWTA020,TSHE,14,NA,43,Tsuga heterophylla,western hemlock,tree,NA,A020,14
CCSWTA075,PSME,32,NA,43,Pseudotsuga menziesii,Douglas fir,tree,NA,A075,32
CCSWTA075,PSME,38,NA,43,Pseudotsuga menziesii,Douglas fir,tree,NA,A075,38
CCSWTA075,THPL,22,NA,43,Thuja plicata,western redcedar,tree,NA,A075,22
CCSWTA075,THPL,4,NA,43,Thuja plicata,western redcedar,tree,NA,A075,4
CCSWTA075,THPL,7,NA,43,Thuja plicata,western redcedar,tree,NA,A075,7
CCSWTA075,THPL,17,NA,43,Thuja plicata,western redcedar,tree,NA,A075,17
CCSWTA075,TSHE,25,NA,43,Tsuga heterophylla,western hemlock,tree,NA,A075,25
CCSWTA130,PSME,47,NA,44,Pseudotsuga menziesii,Douglas fir,tree,NA,A130,47
CCSWTA130,PSME,42,NA,44,Pseudotsuga menziesii,Douglas fir,tree,NA,A130,42
CCSWTA130,TSHE,3,NA,44,Tsuga heterophylla,western hemlock,tree,NA,A130,3
CCSWTA130,TSHE,2,NA,44,Tsuga heterophylla,western hemlock,tree,NA,A130,2
CCSWTA130,TSHE,2,NA,44,Tsuga heterophylla,western hemlock,tree,NA,A130,2
CCSWTA130,TSHE,7,NA,44,Tsuga heterophylla,western hemlock,tree,NA,A130,7
CCSWTA130,TSHE,3,NA,44,Tsuga heterophylla,western hemlock,tree,NA,A130,3
CCSWTC130,PSME,56,NA,44,Pseudotsuga menziesii,Douglas fir,tree,NA,C130,56
CCSWTC130,TSHE,sapling,5,44,Tsuga heterophylla,western hemlock,tree,NA,C130,0.25
CCSWTC130,TSHE,14,NA,44,Tsuga heterophylla,western hemlock,tree,NA,C130,14
CCSWTC130,TSHE,3,NA,44,Tsuga heterophylla,western hemlock,tree,NA,C130,3
CCSWTC075,PSME,44,NA,45,Pseudotsuga menziesii,Douglas fir,tree,NA,C075,44
CCSWTC075,PSME,57,NA,45,Pseudotsuga menziesii,Douglas fir,tree,NA,C075,57
CCSWTC075,THPL,41,NA,45,Thuja plicata,western redcedar,tree,NA,C075,41
CCSWTC075,TSHE,2,NA,45,Tsuga heterophylla,western hemlock,tree,NA,C075,2
CCSWTC075,TSHE,1,NA,45,Tsuga heterophylla,western hemlock,tree,NA,C075,1
CCSWTC020,THPL,41,NA,45,Thuja plicata,western redcedar,tree,NA,C020,41
CCSWTB020,TSHE,65,NA,49,Tsuga heterophylla,western hemlock,tree,NA,B020,65
CCSWTB075,PSME,33.25,NA,49,Pseudotsuga menziesii,Douglas fir,tree,NA,B075,33.25
CCSWTB075,PSME,54,NA,49,Pseudotsuga menziesii,Douglas fir,tree,NA,B075,54
CCSWTB075,TSHE,0.25,NA,49,Tsuga heterophylla,western hemlock,tree,NA,B075,0.25
CCSWTB130,THPL,32.25,NA,50,Thuja plicata,western redcedar,tree,NA,B130,32.25
CCSWTD020,THPL,41,NA,51,Thuja plicata,western redcedar,tree,NA,D020,41
CCSWTD020,THPL,42,NA,51,Thuja plicata,western redcedar,tree,NA,D020,42
CCSWTD020,THPL,15.5,NA,51,Thuja plicata,western redcedar,tree,NA,D020,15.5
CCSWCE020,PSME,58,NA,56,Pseudotsuga menziesii,Douglas fir,tree,NA,E020,58
CCSWCE020,THPL,37,NA,46,Thuja plicata,western redcedar,tree,NA,E020,37
CCSWCE020,TSHE,sapling,8,46,Tsuga heterophylla,western hemlock,tree,NA,E020,0.25
CCSWCE020,TSHE,4,NA,46,Tsuga heterophylla,western hemlock,tree,NA,E020,4
CCSWCE020,TSHE,4,NA,46,Tsuga heterophylla,western hemlock,tree,NA,E020,4
CCSWCE020,TSHE,7,NA,46,Tsuga heterophylla,western hemlock,tree,NA,E020,7
CCSWCE020,TSHE,2,NA,46,Tsuga heterophylla,western hemlock,tree,NA,E020,2
CCSWCE075,PSME,56,NA,46,Pseudotsuga menziesii,Douglas fir,tree,NA,E075,56
CCSWCE075,PSME,38,NA,46,Pseudotsuga menziesii,Douglas fir,tree,NA,E075,38
CCSWCE075,TSHE,sapling,12,46,Tsuga heterophylla,western hemlock,tree,NA,E075,0.25
CCSWCE075,TSHE,3,NA,46,Tsuga heterophylla,western hemlock,tree,NA,E075,3
CCSWCE075,TSHE,3,NA,46,Tsuga heterophylla,western hemlock,tree,NA,E075,3
CCSWCE075,TSHE,3,NA,46,Tsuga heterophylla,western hemlock,tree,NA,E075,3
CCSWCE075,TSHE,3,NA,46,Tsuga heterophylla,western hemlock,tree,NA,E075,3
CCSWCE075,TSHE,3,NA,46,Tsuga heterophylla,western hemlock,tree,NA,E075,3
CCSWCE075,TSHE,4,NA,46,Tsuga heterophylla,western hemlock,tree,NA,E075,4
CCSWCE075,TSHE,4,NA,46,Tsuga heterophylla,western hemlock,tree,NA,E075,4
CCSWCE130,PSME,24,NA,47,Pseudotsuga menziesii,Douglas fir,tree,NA,E130,24
CCSWCE130,PSME,25,NA,47,Pseudotsuga menziesii,Douglas fir,tree,NA,E130,25
CCSWCE130,PSME,39,NA,47,Pseudotsuga menziesii,Douglas fir,tree,NA,E130,39
CCSWCE130,PSME,38,NA,47,Pseudotsuga menziesii,Douglas fir,tree,NA,E130,38
CCSWCE130,THPL,14,NA,47,Thuja plicata,western redcedar,tree,NA,E130,14
CCSWCE130,TSHE,13,NA,47,Tsuga heterophylla,western hemlock,tree,NA,E130,13
CCSWCE130,TSHE,sapling,9,47,Tsuga heterophylla,western hemlock,tree,NA,E130,0.25
CCSWCG130,ABAM,2,NA,47,Abies amabilis,Pacific silver fir,tree,NA,G130,2
CCSWCG130,TSHE,2,NA,47,Tsuga heterophylla,western hemlock,tree,NA,G130,2
CCSWCG130,TSHE,20,NA,47,Tsuga heterophylla,western hemlock,tree,NA,G130,20
CCSWCG075,PSME,30,NA,48,Pseudotsuga menziesii,Douglas fir,tree,NA,G075,30
CCSWCG075,PSME,48,NA,48,Pseudotsuga menziesii,Douglas fir,tree,NA,G075,48
CCSWCG075,TSHE,7,NA,48,Tsuga heterophylla,western hemlock,tree,NA,G075,7
CCSWCG075,TSHE,10,NA,48,Tsuga heterophylla,western hemlock,tree,NA,G075,10
CCSWCG075,TSHE,9,NA,48,Tsuga heterophylla,western hemlock,tree,NA,G075,9
CCSWCG075,TSHE,sapling,2,48,Tsuga heterophylla,western hemlock,tree,NA,G075,0.25
CCSWCG020,ABAM,4,NA,48,Abies amabilis,Pacific silver fir,tree,NA,G020,4
CCSWCG020,ABAM,10,NA,48,Abies amabilis,Pacific silver fir,tree,NA,G020,10
CCSWCG020,ABAM,3,NA,48,Abies amabilis,Pacific silver fir,tree,NA,G020,3
CCSWCG020,ABAM,4,NA,48,Abies amabilis,Pacific silver fir,tree,NA,G020,4
CCSWCG020,ABAM,sapling,1,48,Abies amabilis,Pacific silver fir,tree,NA,G020,0.25
CCSWCG020,PSME,15,NA,48,Pseudotsuga menziesii,Douglas fir,tree,NA,G020,15
CCSWCG020,PSME,52,NA,48,Pseudotsuga menziesii,Douglas fir,tree,NA,G020,52
CCSWCG020,TSHE,3,NA,48,Tsuga heterophylla,western hemlock,tree,NA,G020,3
CCSWCG020,TSHE,sapling,5,48,Tsuga heterophylla,western hemlock,tree,NA,G020,0.25
CCSWCF020,TSHE,30,NA,53,Tsuga heterophylla,western hemlock,tree,NA,F020,30
CCSWCF020,TSHE,3.25,NA,53,Tsuga heterophylla,western hemlock,tree,NA,F020,3.25
CCSWCF075,PISI,0.5,NA,53,Picea sitchensis,sitka spruce,tree,NA,F075,0.5
CCSWCH075,THPL,0.25,NA,54,Thuja plicata,western redcedar,tree,NA,H075,0.25
CCSWCH020,THPL,43.5,NA,56,Thuja plicata,western redcedar,tree,NA,H020,43.5
CCSWCH020,THPL,34.799999999999997,NA,56,Thuja plicata,western redcedar,tree,NA,H020,34.8
