plot_id,species_code,dbh_inches,sapling_count,datasheet_page,scientific_name,common_name,vegetation_type,beaver_preference,circle_name,dbh_inches_num
CCEBTC130,TSHE,2.9,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C130,2.9
CCEBTC130,TSHE,2.8,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C130,2.8
CCEBTA130,ABAM,18.2,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,A130,18.2
CCEBTA130,ABAM,11.5,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,A130,11.5
CCEBTA130,ABAM,22,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,A130,22
CCEBTA130,TSHE,1.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,A130,1.5
CCEBTA130,TSHE,sapling,1,NA,Tsuga heterophylla,western hemlock,tree,NA,A130,0.25
CCEBTA130,TSHE,2,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,A130,2
CCEBTA075,ABAM,11.7,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,A075,11.7
CCEBTA075,ABAM,12.2,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,A075,12.2
CCEBTA075,ABAM,12.9,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,A075,12.9
CCEBTA075,ABAM,13.4,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,A075,13.4
CCEBTA075,ABAM,15.3,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,A075,15.3
CCEBTA075,ABAM,12.4,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,A075,12.4
CCEBTA020,ABAM,15,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,A020,15
CCEBTB020,ABAM,3.5,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,B020,3.5
CCEBTB020,ABAM,8.4,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,B020,8.4
CCEBTB020,ABAM,23,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,B020,23
CCEBTB020,ALRU,8,NA,NA,Alnus rubra,red alder,tree,NA,B020,8
CCEBTB020,TSHE,3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,B020,3
CCEBTB075,ALRU,3,NA,NA,Alnus rubra,red alder,tree,NA,B075,3
CCEBTB075,ALRU,1,NA,NA,Alnus rubra,red alder,tree,NA,B075,1
CCEBTB075,ALRU,1,NA,NA,Alnus rubra,red alder,tree,NA,B075,1
CCEBTB075,TSHE,sapling,1,NA,Tsuga heterophylla,western hemlock,tree,NA,B075,0.25
CCEBTD020,ABAM,19.5,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,D020,19.5
CCEBTD020,ABAM,20.5,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,D020,20.5
CCEBTD075,ABAM,11.3,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,D075,11.3
CCEBTD075,TSHE,16.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,D075,16.5
CCNWTD020,PSME,36.5,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,D020,36.5
